"id","category","t1","t2","t3"
1,"training",5987,4930,5214
3,"training",5939,5978,5557
6,"training",8302,7579,8227
10,"training",8648,12361,5437
11,"standard",4287,4637,3963
12,"training",4976,4910,3915
13,"training",5295,4125,3255
14,"training",6958,6788,4446
17,"standard",10448,8770,4793
18,"training",5401,4634,4027
21,"standard",4705,5312,3513
22,"standard",6634,4339,2590
24,"standard",6491,5066,4114
26,"training",4750,3824,3622
28,"standard",8057,5664,5000
29,"training",4652,6803,3295
31,"training",4559,4488,5234
32,"standard",7349,6636,6093
34,"standard",4851,5611,3255
35,"training",4743,4561,5097
36,"standard",6108,4955,3334
37,"standard",5120,4753,5953
38,"training",6152,6400,6255
39,"standard",8117,4851,4266
42,"training",6526,7335,6482
43,"standard",9222,6185,4403
46,"training",4347,5559,5343
48,"training",3738,4728,2708
50,"standard",4033,3097,3673
