Stress,Class.Standing
3.982521188,Freshmen
8.542302567,Freshmen
10.09020588,Freshmen
5.445493923,Freshmen
10.82320433,Freshmen
10.96849662,Freshmen
5.546373608,Freshmen
9.556644544,Freshmen
10.74511009,Freshmen
7.274275098,Freshmen
9.19183919,Freshmen
11.65510911,Freshmen
11.07720887,Freshmen
8.087248452,Freshmen
16.53859388,Freshmen
4.141150346,Freshmen
11.35937544,Freshmen
5.823167609,Freshmen
8.253198918,Freshmen
10.57246412,Freshmen
8.220120425,Freshmen
10.70739125,Freshmen
4.087247648,Freshmen
6.715510616,Freshmen
10.15822788,Freshmen
10.56696063,Freshmen
5.658107227,Freshmen
11.69038587,Freshmen
3.632855616,Freshmen
8.598617911,Freshmen
5.000570207,Freshmen
9.769367129,Freshmen
5.817172557,Freshmen
8.84487644,Freshmen
10.57808637,Freshmen
9.018223025,Freshmen
9.048168686,Freshmen
3.646974017,Freshmen
10.34960526,Freshmen
13.14341766,Freshmen
7.259999647,Freshmen
6.605321625,Freshmen
9.045759455,Freshmen
5.06258025,Freshmen
11.19783762,Freshmen
11.60032952,Freshmen
9.064699738,Freshmen
7.867755684,Freshmen
5.543225467,Freshmen
12.44969877,Freshmen
5.558998212,Freshmen
12.19642874,Freshmen
8.656852455,Freshmen
10.85344808,Freshmen
6.78678921,Freshmen
7.210905275,Freshmen
4.07200771,Freshmen
3.662427258,Sophomore
5.493113947,Sophomore
8.488588755,Sophomore
7.808984563,Sophomore
1.788689501,Sophomore
9.03464759,Sophomore
4.684791253,Sophomore
5.646405438,Sophomore
10.00473276,Sophomore
6.885205633,Sophomore
8.454187199,Sophomore
5.694455998,Sophomore
5.417028386,Sophomore
6.468907699,Sophomore
7.175605315,Sophomore
5.293942968,Sophomore
4.31047681,Sophomore
6.352806617,Sophomore
6.197252503,Sophomore
3.7914993,Sophomore
13.01676272,Sophomore
10.29269796,Sophomore
7.929715072,Sophomore
9.415063304,Sophomore
5.435646143,Sophomore
7.837393105,Sophomore
5.198465744,Sophomore
5.075809316,Sophomore
4.588911331,Sophomore
3.426020644,Sophomore
9.336970383,Sophomore
3.011377447,Sophomore
1.790483686,Sophomore
9.808992634,Sophomore
1.38288812,Sophomore
4.818782208,Sophomore
12.00736826,Sophomore
1.837004267,Sophomore
3.130667501,Sophomore
8.375000433,Sophomore
3.324355463,Sophomore
7.011642425,Sophomore
9.478098853,Sophomore
7.191998883,Sophomore
3.172044614,Sophomore
5.78164273,Sophomore
5.872693325,Sophomore
8.661934644,Sophomore
8.419102034,Sophomore
7.222737961,Sophomore
3.974526413,Sophomore
5.777309713,Sophomore
5.700164564,Sophomore
8.459007801,Sophomore
7.05941607,Sophomore
10.47829509,Sophomore
4.103515605,Sophomore
10.54530725,Sophomore
5.79350267,Sophomore
8.65111844,Sophomore
6.929550996,Sophomore
13.70216083,Sophomore
6.083951282,Sophomore
10.81896026,Sophomore
8.217576257,Sophomore
8.570765169,Sophomore
1.375824266,Sophomore
5.802072007,Sophomore
9.375025286,Sophomore
10.20075452,Junior
5.290313084,Junior
6.069473115,Junior
-0.308738033,Junior
7.177620764,Junior
5.494616616,Junior
7.142693375,Junior
3.572055663,Junior
6.699908408,Junior
8.042171091,Junior
2.677174334,Junior
1.361793511,Junior
3.428431902,Junior
6.363891991,Junior
6.043257684,Junior
1.098950307,Junior
1.43472416,Junior
9.598265177,Junior
4.931802534,Junior
4.186811976,Junior
8.644407429,Junior
5.379783464,Junior
4.807463949,Junior
8.957657039,Junior
4.163015319,Junior
1.315302332,Junior
4.188361638,Junior
0.870984981,Junior
8.891767807,Junior
5.925357592,Junior
5.862705599,Junior
3.585909126,Junior
2.822610621,Junior
3.860953092,Junior
7.159719547,Junior
3.418987892,Junior
4.898686768,Junior
3.937043076,Junior
1.52921145,Junior
2.629797677,Junior
6.319030307,Junior
2.073853981,Junior
4.241849651,Junior
8.049382279,Junior
6.37788197,Junior
7.613174176,Junior
6.684643803,Junior
8.082532053,Junior
9.689967739,Senior
9.546363036,Senior
13.96167443,Senior
9.834669052,Senior
10.34910637,Senior
10.60250926,Senior
10.20398744,Senior
5.906295272,Senior
4.0324732,Senior
7.300221266,Senior
8.91687733,Senior
8.055754961,Senior
5.534114413,Senior
4.759272565,Senior
2.563607394,Senior
14.02743332,Senior
8.619184683,Senior
11.8644516,Senior
5.664872739,Senior
6.186744405,Senior
4.392948849,Senior
7.732585985,Senior
14.20002435,Senior
7.947504993,Senior
10.17798957,Senior
6.927944547,Senior
4.688146532,Senior
8.681840564,Senior
12.76995391,Senior
4.593128719,Senior
7.567131779,Senior
14.47601977,Senior
5.98631041,Senior
9.214987704,Senior
6.281340713,Senior
6.053760537,Senior
7.05892921,Senior
10.74585884,Senior
14.42016787,Senior
2.805102966,Senior
5.793839959,Senior
5.948400047,Senior
8.720521119,Senior
9.569342493,Senior
7.910848355,Senior
15.23284635,Senior
9.852263391,Senior
9.493671583,Senior
8.444142056,Senior
12.78194948,Senior
9.388021129,Senior
12.08425741,Senior
5.703283781,Senior
